"","Cog.1","Cog.2","Cog.3","Cog.4","Cog.5","Cog.6","Aff.1","Aff.2","Aff.3","Aff.4","Aff.5","Aff.6","Beh.1","Beh.2","Beh.3","Beh.4","Beh.5","Beh.6"
"1",6,5,5,4,5,4,3,4,3,6,4,4,4,6,4,5,6,6
"2",6,2,5,3,4,4,3,2,2,4,2,2,5,5,5,5,5,5
"3",6,2,4,5,3,4,3,3,3,3,4,3,5,5,4,4,5,5
"4",5,3,5,4,3,3,3,2,3,3,3,3,4,4,4,4,4,4
"5",6,1,2,1,1,1,2,2,3,4,3,4,6,5,4,5,5,4
"6",4,3,4,6,5,6,5,4,4,4,4,4,4,3,4,3,4,4
"7",4,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5
"8",6,2,5,5,3,2,5,5,3,4,3,4,5,5,5,5,5,5
"9",3,4,5,5,4,3,4,5,5,4,4,5,3,5,4,4,5,5
"10",5,2,5,5,3,2,5,5,4,5,5,5,5,5,5,5,5,5
"11",5,1,4,3,5,1,1,1,1,3,3,3,6,6,6,6,6,6
"12",5,2,5,2,5,2,2,2,2,2,2,2,4,4,4,4,4,5
"13",6,4,6,6,5,5,5,5,3,4,6,6,6,6,6,6,6,6
"14",6,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"15",1,3,3,3,4,4,1,1,1,1,1,1,1,1,1,3,3,3
"16",5,3,5,5,4,3,3,4,3,5,5,5,5,5,5,5,5,5
"17",6,3,5,5,5,3,3,3,3,4,4,5,6,5,4,4,5,6
"18",5,1,5,5,5,1,2,2,1,1,1,2,6,6,4,2,5,5
"19",5,2,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5
"20",2,2,4,3,4,4,4,5,4,4,3,5,4,2,3,3,4,3
"21",4,1,4,2,4,2,2,1,2,4,3,2,5,3,2,2,4,4
"22",5,3,4,4,4,4,5,5,5,4,4,5,4,4,4,4,5,5
"23",6,1,6,6,1,1,5,5,6,6,6,6,5,5,5,5,5,5
"24",5,1,6,4,3,1,2,1,1,1,2,2,5,5,5,5,5,5
"25",5,2,3,3,4,3,2,2,2,3,2,2,5,5,4,4,5,4
"26",5,2,5,5,2,2,2,2,4,2,3,3,4,4,4,4,4,5
"27",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"28",6,3,6,6,3,3,4,2,2,3,1,2,4,3,2,2,4,6
"29",6,2,6,6,6,6,5,5,5,2,5,5,5,5,5,5,5,5
