Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;16512;"Review of Educational Research";journal;"00346543, 19351046";6,887;Q1;174;24;71;2775;1161;70;13,33;115,63;United States;Northern America;"SAGE Publications Inc.";"1931-2022";"Education (Q1)";"Social Sciences"
2;16965;"Internet and Higher Education";journal;"10967516";3,906;Q1;109;28;68;1991;869;68;10,59;71,11;United Kingdom;Western Europe;"Elsevier BV";"1998-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
3;17645;"Computers and Education";journal;"03601315";3,676;Q1;215;184;638;13115;8934;636;13,35;71,28;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2022";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
4;13502;"Developmental Review";journal;"02732297, 10902406";3,485;Q1;108;32;69;4892;661;68;7,60;152,88;United States;Northern America;"Mosby Inc.";"1981-2022";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology; Social Sciences"
5;5800194481;"Educational Researcher";journal;"0013189X";3,374;Q1;142;69;176;2947;1118;164;6,26;42,71;United States;Northern America;"SAGE Publications Inc.";"1972-2022";"Education (Q1)";"Social Sciences"
6;14278;"Educational Psychology Review";journal;"1040726X, 1573336X";3,255;-;129;72;137;6606;1307;130;8,86;91,75;United States;Northern America;"Springer New York";"1989-2022";"Developmental and Educational Psychology (Q1)";"Psychology"
7;4700152248;"Educational Research Review";journal;"1747938X";3,067;Q1;88;25;108;3120;1324;107;10,79;124,80;United Kingdom;Western Europe;"Elsevier Ltd.";"2006-2022";"Education (Q1)";"Social Sciences"
8;23145;"Language Learning";journal;"14679922, 00238333";2,985;Q1;124;38;128;2943;698;120;5,24;77,45;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2022";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
9;23626;"Science Education";journal;"00368326, 1098237X";2,962;Q1;127;46;154;3953;871;153;5,82;85,93;United States;Northern America;"Wiley-Liss Inc.";"1930-2022";"Education (Q1); History and Philosophy of Science (Q1)";"Arts and Humanities; Social Sciences"
10;13358;"Sociology of Education";journal;"00380407, 19398573";2,932;Q1;107;18;53;1097;312;53;4,49;60,94;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2022";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
11;16514;"Review of Research in Education";journal;"0091732X, 19351038";2,927;Q1;69;14;45;1548;386;42;7,47;110,57;United States;Northern America;"SAGE Publications Inc.";"1973-1981, 1983-1988, 1990-2000, 2002-2022";"Education (Q1)";"Social Sciences"
